"espn_team_id","team","mascot","abbreviation","display_name","short_name","color","alternate_color","logo","logo_dark","logos_href_3","logos_href_4"
"25","Anaheim","Ducks","ANA","Anaheim Ducks","Ducks","231f20","b5985a","https://a.espncdn.com/i/teamlogos/nhl/500/ana.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/ana.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ana.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/ana.png"
"24","Arizona","Coyotes","ARI","Arizona Coyotes","Coyotes","770c1d","231f20","https://a.espncdn.com/i/teamlogos/nhl/500/ari.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/ari.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ari.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/ari.png"
"1","Boston","Bruins","BOS","Boston Bruins","Bruins","231f20","fdbb30","https://a.espncdn.com/i/teamlogos/nhl/500/bos.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/bos.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/bos.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/bos.png"
"2","Buffalo","Sabres","BUF","Buffalo Sabres","Sabres","002d62","fdba31","https://a.espncdn.com/i/teamlogos/nhl/500/buf.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/buf.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/buf.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/buf.png"
"3","Calgary","Flames","CGY","Calgary Flames","Flames","e51937","231f20","https://a.espncdn.com/i/teamlogos/nhl/500/cgy.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/cgy.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cgy.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/cgy.png"
"7","Carolina","Hurricanes","CAR","Carolina Hurricanes","Hurricanes","e51937","161313","https://a.espncdn.com/i/teamlogos/nhl/500/car.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/car.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/car.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/car.png"
"4","Chicago","Blackhawks","CHI","Chicago Blackhawks","Blackhawks","c8102e","1b1718","https://a.espncdn.com/i/teamlogos/nhl/500/chi.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/chi.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/chi.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/chi.png"
"17","Colorado","Avalanche","COL","Colorado Avalanche","Avalanche","860038","11497f","https://a.espncdn.com/i/teamlogos/nhl/500/col.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/col.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/col.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/col.png"
"9","Dallas","Stars","DAL","Dallas Stars","Stars","00704a","8c9192","https://a.espncdn.com/i/teamlogos/nhl/500/dal.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/dal.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/dal.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/dal.png"
"5","Detroit","Red Wings","DET","Detroit Red Wings","Red Wings","e51937","ebebeb","https://a.espncdn.com/i/teamlogos/nhl/500/det.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/det.png","https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/det.png","https://a.espncdn.com/i/teamlogos/nhl/500-dark/scoreboard/det.png"
