player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
15,Emma Vlasic,F,0,1,1,0,0,1,3,1,0,13 - 9,0.591,0,0,1,0,13,9,Connecticut Whale,stats#/player/431646,431646,514869,,,,,,,2022
17,Taylor Girard,F,1,0,1,0,0,2,0,0,1,0 - 0,0,0,0,2,0,0,0,Connecticut Whale,stats#/player/966983,966983,514869,,,,,,,2022
22,Kennedy Marchment,F,0,1,1,2,0,7,0,3,0,12 - 19,0.387,0,0,7,0,12,19,Connecticut Whale,stats#/player/966985,966985,514869,,,,,,,2022
24,Janine Weber,F,0,1,1,0,0,1,0,1,3,0 - 0,0,0,0,3,2,0,0,Connecticut Whale,stats#/player/513300,513300,514869,,,,,,,2022
88,Amanda Conway,F,1,0,1,0,0,5,0,0,0,0 - 0,0,0,0,5,0,0,0,Connecticut Whale,stats#/player/707073,707073,514869,,,,,,,2022
5,Tori Howran,D,0,0,0,0,0,5,0,1,2,0 - 0,0,0,0,5,0,0,0,Connecticut Whale,stats#/player/1034126,1034126,514869,,,,,,,2022
6,Shannon Turner,D,0,0,0,0,0,3,1,0,0,0 - 0,0,0,0,3,0,0,0,Connecticut Whale,stats#/player/967608,967608,514869,,,,,,,2022
8,Alyssa Wohlfeiler,F,0,0,0,2,0,2,0,1,1,0 - 0,0,0,0,3,1,0,0,Connecticut Whale,stats#/player/57768,57768,514869,,,,,,,2022
9,Kaycie Anderson,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/431637,431637,514869,,,,,,,2022
11,Emily Fluke,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/455143,455143,514869,,,,,,,2022
12,Allie Munroe,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Connecticut Whale,stats#/player/966982,966982,514869,,,,,,,2022
13,Cailey Hutchison,F,0,0,0,0,0,2,1,1,1,2 - 3,0.4,0,0,2,0,2,3,Connecticut Whale,stats#/player/431652,431652,514869,,,,,,,2022
16,Hanna Beattie,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/455146,455146,514869,,,,,,,2022
18,Hannah Bates,D,0,0,0,0,0,0,0,0,1,0 - 0,0,0,0,2,2,0,0,Connecticut Whale,stats#/player/966984,966984,514869,,,,,,,2022
27,Janka Hlinka,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/966992,966992,514869,,,,,,,2022
28,Melissa Samoskevich,F,0,0,0,0,0,5,1,0,1,0 - 0,0,0,0,6,1,0,0,Connecticut Whale,stats#/player/1041703,1041703,514869,,,,,,,2022
44,Taylor Marchin,D,0,0,0,0,0,0,3,0,2,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/431643,431643,514869,,,,,,,2022
97,Catherine Crawley,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Connecticut Whale,stats#/player/966955,966955,514869,,,,,,,2022
7,Mary Parker,F,0,2,2,0,0,2,0,2,0,0 - 0,0,0,0,3,1,0,0,Boston Pride,stats#/player/1041273,1041273,514869,,,,,,,2022
14,Jillian Dempsey,F,1,1,2,5,0,2,1,1,0,1 - 0,1,0,0,2,0,1,0,Boston Pride,stats#/player/58116,58116,514869,,,,,,,2022
6,Kali Flanagan,D,0,1,1,0,0,5,0,0,0,0 - 0,0,0,0,6,1,0,0,Boston Pride,stats#/player/1034117,1034117,514869,,,,,,,2022
11,Evelina Raselli,F,1,0,1,0,0,2,1,1,0,9 - 4,0.692,0,0,3,1,9,4,Boston Pride,stats#/player/967842,967842,514869,,,,,,,2022
12,Jenna Rheault,D,1,0,1,0,0,2,0,0,1,0 - 0,0,0,0,3,1,0,0,Boston Pride,stats#/player/431619,431619,514869,,,,,,,2022
18,Taylor Wenczkowski,F,1,0,1,2,0,2,0,1,0,13 - 9,0.591,0,0,2,0,13,9,Boston Pride,stats#/player/627747,627747,514869,,,,,,,2022
21,Christina Putigna,F,0,1,1,0,0,3,0,0,1,0 - 0,0,0,0,5,2,0,0,Boston Pride,stats#/player/431616,431616,514869,,,,,,,2022
4,Lauren Kelly,D,0,0,0,0,0,2,0,0,2,0 - 0,0,0,0,3,1,0,0,Boston Pride,stats#/player/431612,431612,514869,,,,,,,2022
8,Amanda Boulier,D,0,0,0,0,0,2,2,0,1,0 - 0,0,0,0,2,0,0,0,Boston Pride,stats#/player/431662,431662,514869,,,,,,,2022
9,Tori Sullivan,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/431622,431622,514869,,,,,,,2022
13,Kaleigh Fratkin,D,0,0,0,0,0,1,2,2,0,0 - 0,0,0,0,2,1,0,0,Boston Pride,stats#/player/57735,57735,514869,,,,,,,2022
17,McKenna Brand,F,0,0,0,0,0,1,0,0,1,0 - 0,0,0,0,1,0,0,0,Boston Pride,stats#/player/431610,431610,514869,,,,,,,2022
19,Sammy Davis,F,0,0,0,0,0,3,0,2,0,0 - 1,0,0,0,4,1,0,1,Boston Pride,stats#/player/627751,627751,514869,,,,,,,2022
23,Kateylnn Russ,F,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Boston Pride,stats#/player/856786,856786,514869,,,,,,,2022
29,Kayla Friesen,F,0,0,0,0,0,1,0,0,1,7 - 10,0.412,0,0,1,0,7,10,Boston Pride,stats#/player/856779,856779,514869,,,,,,,2022
