team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring
buf,274773,FALSE,0,0,0,0,16,0,0,0,0,8,6,4,,,,18,0,0,0,,,
met,274773,TRUE,1,0,0,0,2,0,0,0,0,7,7,8,,,,22,1,0,0,,,
ctw,274834,FALSE,0,0,0,0,10,0,0,0,0,6,10,10,,,,26,0,0,0,,,
met,274834,TRUE,5,0,0,0,12,0,0,0,0,5,6,7,,,,18,1,1,3,,,
bos,274774,FALSE,2,0,0,0,10,0,0,0,0,8,17,13,2,,,40,1,1,0,1,,
buf,274774,TRUE,3,0,0,0,8,0,0,0,0,15,7,14,1,,,37,1,0,1,0,,
met,274701,TRUE,4,0,0,0,6,0,0,0,0,1,1,2,,,,4,1,1,2,,,
bos,274701,FALSE,1,0,0,0,2,0,0,0,0,0,1,0,,,,1,0,1,0,,,
buf,274700,TRUE,4,0,0,0,6,0,0,0,0,9,14,14,,,,37,0,3,1,,,
ctw,274700,FALSE,1,0,0,0,8,0,0,0,0,5,11,7,,,,23,1,0,0,,,
buf,274699,TRUE,2,0,0,0,4,0,0,0,0,1,1,0,,,,2,1,1,0,,,
met,274699,FALSE,1,0,0,0,4,0,0,0,0,0,1,0,,,,1,0,1,0,,,
ctw,274698,FALSE,2,0,0,0,4,0,0,0,0,6,8,3,,,,17,0,1,1,,,
bos,274698,TRUE,3,0,0,0,4,0,0,0,0,12,7,12,,,,31,2,1,0,,,
buf,274697,TRUE,4,0,0,0,16,0,0,0,0,0,1,3,,,,4,0,1,3,,,
met,274697,FALSE,3,0,0,0,14,0,0,0,0,2,0,1,,,,3,2,0,1,,,
bos,274696,TRUE,3,0,0,0,16,0,0,0,0,0,0,0,,,,0,0,0,0,,,
ctw,274696,FALSE,0,0,0,0,12,0,0,0,0,0,1,2,,,,3,0,1,2,,,
buf,274695,TRUE,6,0,0,0,8,0,0,0,0,9,16,3,,,,28,4,1,1,,,
bos,274695,FALSE,2,0,0,0,8,0,0,0,0,8,10,9,,,,27,0,2,0,,,
ctw,274694,FALSE,2,0,0,0,18,0,0,0,0,7,9,10,,,,26,1,0,1,,,
met,274694,TRUE,4,0,0,0,12,0,0,0,0,10,5,14,,,,29,1,1,2,,,
met,274693,FALSE,3,0,0,0,8,0,0,0,0,9,9,11,,,,29,1,0,1,,,
buf,274693,TRUE,5,0,0,0,12,0,0,0,0,10,13,15,,,,38,1,1,3,,,
ctw,274692,TRUE,3,0,0,0,6,0,0,0,0,1,1,0,,,,2,1,1,0,,,
bos,274692,FALSE,2,0,0,0,18,0,0,0,0,1,1,0,,,,2,1,1,0,,,
met,274691,TRUE,3,0,0,0,10,0,0,0,0,1,1,0,,,,2,1,1,0,,,
ctw,274691,FALSE,2,0,0,0,8,0,0,0,0,2,0,0,,,,2,2,0,0,,,
bos,274690,FALSE,0,0,0,0,8,0,0,0,0,0,0,0,,,,0,0,0,0,,,
buf,274690,TRUE,1,0,0,0,4,0,0,0,0,0,0,0,,,,0,0,0,0,,,
bos,274689,FALSE,1,0,0,0,10,0,0,0,0,10,13,6,,,,29,0,0,1,,,
met,274689,TRUE,2,0,0,0,10,0,0,0,0,6,10,6,,,,22,0,2,0,,,
met,274688,TRUE,5,0,0,0,12,0,0,0,0,4,12,12,,,,28,1,2,2,,,
bos,274688,FALSE,1,0,0,0,8,0,0,0,0,7,7,8,,,,22,0,1,0,,,
ctw,274687,FALSE,1,0,0,0,6,0,0,0,0,10,13,8,1,,,32,0,1,0,0,,
buf,274687,TRUE,2,0,0,0,4,0,0,0,0,10,7,8,8,,,33,0,1,0,0,,
buf,274686,TRUE,4,0,0,0,8,0,0,0,0,2,0,2,,,,4,2,0,2,,,
ctw,274686,FALSE,3,0,0,0,14,0,0,0,0,1,0,2,,,,3,1,0,2,,,
ctw,274685,FALSE,1,0,0,0,10,0,0,0,0,16,11,13,,,,40,0,1,0,,,
met,274685,TRUE,6,0,0,0,8,0,0,0,0,6,14,15,,,,35,1,1,4,,,
bos,274684,FALSE,2,0,0,0,8,0,0,0,0,14,13,15,2,,,44,0,1,1,0,,
buf,274684,TRUE,3,0,0,0,0,0,0,0,0,8,13,4,1,,,26,1,1,0,1,,
met,274683,TRUE,4,0,0,0,6,0,0,0,0,7,10,9,,,,26,2,1,1,,,
bos,274683,FALSE,2,0,0,0,16,0,0,0,0,18,9,11,,,,38,0,1,1,,,
ctw,274682,FALSE,1,0,0,0,4,0,0,0,0,0,0,1,,,,1,0,0,1,,,
buf,274682,TRUE,3,0,0,0,8,0,0,0,0,0,2,1,,,,3,0,2,1,,,
