team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
tor,585631,TRUE,7,0,1,0,4,0.516,16,16,14,19,14,12,,,,45,3,1,3,,,,2023
bos,585631,FALSE,3,0,3,0,2,0.484,16,14,16,6,12,15,,,,33,1,2,0,,,,2023
met,585630,TRUE,3,0,4,0,8,0.453,8,0,0,11,9,7,,,,27,1,0,2,,,,2023
mon,585630,FALSE,2,0,4,0,8,0.547,7,0,0,9,9,9,,,,27,1,0,1,,,,2023
tor,585629,FALSE,2,0,7,0,14,0.514,5,0,0,11,8,10,0,,,29,0,0,2,0,,,2023
bos,585629,TRUE,3,1,7,0.143,12,0.486,4,0,0,10,14,7,2,,,33,0,1,1,1,,,2023
met,585628,FALSE,3,1,4,0.25,10,0.574,6,0,0,10,5,7,,,,22,1,1,1,,,,2023
mon,585628,TRUE,5,2,5,0.4,8,0.426,2,0,0,10,6,6,,,,22,1,1,3,,,,2023
tor,585626,TRUE,5,0,6,0,16,0.404,0,0,0,9,10,11,,,,30,1,1,3,,,,2023
met,585626,FALSE,2,1,8,0.125,12,0.596,1,0,0,14,4,9,,,,27,1,1,0,,,,2023
bos,585625,TRUE,5,1,2,0.5,4,0.459,9,0,0,14,12,6,1,,,33,1,3,0,1,,,2023
min,585625,FALSE,4,0,2,0,4,0.541,3,0,0,13,11,8,1,,,33,2,1,1,0,,,2023
tor,585624,FALSE,3,1,6,0.167,12,0.469,1,0,0,11,6,13,,,,30,1,1,1,,,,2023
met,585624,TRUE,6,1,6,0.167,10,0.531,1,0,0,8,9,6,,,,23,1,3,2,,,,2023
bos,585622,TRUE,2,0,2,0,6,0.462,8,0,0,14,4,9,,,,27,0,1,1,,,,2023
min,585622,FALSE,0,0,3,0,4,0.538,9,0,0,13,19,17,,,,49,0,0,0,,,,2023
met,585621,FALSE,0,0,1,0,4,0.471,9,10,12,10,8,9,,,,27,0,0,0,,,,2023
bos,585621,TRUE,2,0,0,0,4,0.529,9,12,10,18,16,13,,,,47,1,1,0,,,,2023
mon,585620,FALSE,2,0,2,0,23,0.49,8,0,0,9,7,17,,,,33,0,1,1,,,,2023
buf,585620,TRUE,3,0,5,0,6,0.51,4,0,0,8,9,1,,,,18,2,0,1,,,,2023
min,585619,FALSE,2,1,4,0.25,4,0.489,11,13,5,8,9,10,,,,27,1,1,0,,,,2023
tor,585619,TRUE,3,0,2,0,8,0.511,8,5,13,9,10,11,,,,30,2,1,0,,,,2023
ctw,585618,FALSE,0,0,1,0,10,0.492,6,10,17,9,16,11,,,,36,0,0,0,,,,2023
bos,585618,TRUE,4,1,5,0.2,8,0.508,6,17,10,11,19,11,,,,41,0,1,3,,,,2023
mon,585617,TRUE,5,1,2,0.5,10,0.588,9,0,0,8,8,7,3,,,26,2,0,2,0,2,6,2023
buf,585617,FALSE,4,0,4,0,6,0.412,6,0,0,11,7,14,2,,,34,2,1,1,0,1,7,2023
min,612249,FALSE,2,1,3,0.333,8,0.426,9,15,6,10,10,7,0,,,27,0,2,0,0,,,2023
tor,612249,TRUE,3,1,4,0.25,6,0.574,6,6,15,8,10,13,1,,,32,1,0,1,1,,,2023
buf,598410,FALSE,0,0,3,0,8,0.381,3,0,0,8,10,6,,,,24,0,0,0,,,,2023
met,598410,TRUE,2,1,4,0.25,6,0.619,3,0,0,22,14,12,,,,48,0,2,0,,,,2023
buf,598215,FALSE,1,0,8,0,14,0.436,3,0,0,5,7,4,,,,16,1,0,0,,,,2023
met,598215,TRUE,5,2,7,0.286,18,0.564,2,0,0,12,13,17,,,,42,3,0,2,,,,2023
